axis,level,ts_start,ts_end,peak_dev
1,ALERT,67618.0,67624.0,7.287019704936704
2,ALERT,3038.0,3044.0,10.018534178719719
2,ALERT,6620.0,6626.0,19.055143645981012
2,ALERT,22018.0,22024.0,14.564322060204956
2,ALERT,22508.0,22514.0,19.067112735067546
2,ALERT,25660.0,25666.0,16.845841353206744
2,ERROR,27657.0,27661.0,20.183176778562384
2,ERROR,33160.0,33164.0,20.39910457683177
2,ALERT,33667.0,33673.0,18.896710952942428
2,ALERT,35507.0,35512.0,18.720612405884307
2,ALERT,40754.0,40760.0,18.994540710157878
2,ALERT,42441.0,42449.0,18.681453278573766
2,ALERT,56247.0,56253.0,15.013308816900574
2,ALERT,57567.0,57573.0,16.27953040952511
2,ALERT,58157.0,58165.0,18.993463391527307
2,ALERT,60371.0,60377.0,14.056273268102496
2,ALERT,61445.0,61451.0,13.256430675200205
2,ALERT,63609.0,63615.0,13.448461970832179
2,ALERT,65278.0,65284.0,17.265235532759842
2,ALERT,65432.0,65438.0,17.357311278852684
4,ALERT,20040.0,20046.0,6.275876227068683
4,ALERT,36518.0,36524.0,5.463010744393944
4,ALERT,40145.0,40151.0,5.987670154051309
4,ALERT,42087.0,42093.0,4.92963995002194
5,ALERT,25509.0,25515.0,6.878443847300829
5,ALERT,66684.0,66689.0,7.181491260733807
5,ALERT,66776.0,66782.0,5.839241931552506
7,ERROR,2530.0,2533.0,7.938937873506699
7,ERROR,10585.0,10589.0,8.790957667128387
7,ERROR,11049.0,11052.0,7.322919004688657
7,ERROR,12340.0,12344.0,7.466312424430062
7,ERROR,20256.0,20260.0,8.02730303192901
7,ERROR,35465.0,35469.0,7.321202957486944
7,ERROR,37937.0,37941.0,8.84078044404098
7,ERROR,40427.0,40431.0,8.881934030602691
7,ERROR,51064.0,51068.0,7.61499626077361
7,ERROR,51367.0,51370.0,7.918756435547827
7,ERROR,52272.0,52276.0,9.414115122760315
7,ERROR,54859.0,54863.0,7.682655205809644
7,ERROR,55220.0,55224.0,8.421674934410401
7,ERROR,58170.0,58174.0,8.554163024300443
7,ERROR,60364.0,60368.0,5.919726974690748
7,ERROR,60538.0,60542.0,6.727707358917931
7,ERROR,62179.0,62183.0,6.850383231612249
7,ERROR,63945.0,63949.0,7.1585566956332745
7,ERROR,65517.0,65521.0,7.285471100116091
7,ERROR,67340.0,67344.0,8.66770693687349
7,ERROR,68484.0,68488.0,8.466350981370116
7,ERROR,68569.0,68573.0,9.066550221638522
